Method,Time,Visited,Size
DFS,5.209221839904785,16,5
BFS,5.152173757553101,16,5
MANHATTAN,3.028712511062622,11,5
EUCLIDEAN,4.546066045761108,16,5
DFS,17.59303379058838,64,10
BFS,19.10739755630493,62,10
MANHATTAN,6.782356262207031,35,10
EUCLIDEAN,6.1660943031311035,32,10
DFS,60.07170653343201,248,20
BFS,93.16321754455566,284,20
MANHATTAN,17.36911964416504,88,20
EUCLIDEAN,14.40615701675415,72,20
DFS,143.4652121067047,522,30
BFS,241.8434612751007,678,30
MANHATTAN,26.58281445503235,137,30
EUCLIDEAN,24.852332830429077,120,30
DFS,311.97709584236145,1028,40
BFS,464.624165058136,1166,40
MANHATTAN,50.61518692970276,191,40
EUCLIDEAN,50.70202922821045,201,40
